Gene_name	Locus_tag	NCBI_gene_ID	Uniprot_ID	Synonyms	Product_function	NDA_component
agaW	b3134	947647	P42905		<I>N</I>-acetyl-D-galactosamine PTS permease (cryptic) - AgaW subunit (pseudogene)	46
ahpC	b0605	945225	P0AE08	JW0598	alkyl hydroperoxide reductase, AhpC component	8.18
ahpF	b0606	947540	P35340	JW0599	AhpF component	8.18
aidB	b4187	948710	P33224	JW5867	AidB	17
alaC	b2379	946850	P77434	yfdZ,JW2376	glutamate-pyruvate aminotransferase	67
alaS	b2697	947175	P00957	lovB,JW2667	alanyl-tRNA synthetase	Basal machinery
aldA	b1415	945672	P25553	JW1412,ald	AldA	29
aldB	b3588	948104	P37685	JW3561,yiaX		Basal machinery
alkA	b2068	947371	P04395	aidA,JW2053	3-methyl-adenine DNA glycosylase II, inducible	17
alkB	b2212	946708	P05050	aidD,JW2200	AlkB repair system for alkylated DNA and RNA	17
allA	b0505	945141	P77731	ybbT,JW0493,glxA2	ureidoglycolate lyase	64
allB	b0512	945134	P77671	ybbX,JW0500,glxB3	allantoinase monomer	64
allR	b0506	945333	P0ACN4	JW0494,ybbU,glxA3	AllR DNA-binding transcriptional repressor	64
allS	b0504	945139	P0ACR0	JW0492,glxA1,ybbS	AllS transcriptional activator	64
alsA	b4087	948593	P32721	JW4048,yjcW	D-allose ABC transporter - ATP binding subunit	Basal machinery
alsB	b4088	948604	P39265	JW4049,yjcX	D-allose ABC transporter - periplasmic binding protein	Basal machinery
alsC	b4086	948594	P32720	JW4047,yjcV	D-allose ABC transporter - membrane subunit	Basal machinery
alsE	b4085	948595	P32719	JW4046,yjcU	allulose-6-phosphate 3-epimerase	Basal machinery
amiA	b2435	946916	P36548	JW2428,yfeE	N-acetylmuramoyl-L-alanine amidase 1	Basal machinery
amiB	b4169	948683	P26365	JW4127,yjeD	N-acetylmuramoyl-L-alanine amidase 2	Basal machinery
ampG	b0433	946438	P0AE16	JW0423	muropeptide:H<sup>+</sup> symporter	Basal machinery
ansB	b2957	947454	P00805	JW2924	AnsB	Basal machinery
ansP	b1453	946019	P77610	JW5234,yncF	L-asparagine transporter	Basal machinery
appA	b0980	946206	P07102	JW0963	AppA	8.1
appB	b0979		P26458	cyxB,JW0961,cbdB	cytochrome <i>bd</i>-II terminal oxidase subunit II	8.1
appC	b0978		P26459	cyxA,cbdA,JW0960	cytochrome <i>bd</i>-II terminal oxidase subunit I	8.1
appX	b4592		P24244	yccB,cbdX,JW0961.1	small outer membrane protein	8.1
appY	b0564	948797	P05052	JW0553	AppY DNA-binding transcriptional activator	Basal machinery
apt	b0469	945113	P69503	JW0458	adenine phosphoribosyltransferase	Basal machinery
araA	b0062	947511	P08202	JW0061	L-arabinose isomerase monomer	47
araB	b0063	946017	P08204	JW0062	L-ribulokinase monomer	47
araC	b0064	944780	P0A9E0	JW0063	AraC	47
araD	b0061	945294	P08203	JW0060	L-ribulose 5-phosphate 4-epimerase monomer	47
araE	b2841	947341	P0AE24	JW2809	arabinose:H<sup>+</sup> symporter	47
araF	b1901	946409	P02924	JW1889	arabinose ABC transporter - periplasmic binding protein	47
araG	b1900	946408	P0AAF3	JW1888	arabinose ABC transporter -  ATP binding subunit	47
araH	b4460	948923	P0AE26	JW1887	arabinose ABC transporter - membrane subunit	47
araJ	b0396	949077	P23910	JW0386	putative transport protein	47
arcA	b4401	948874	P0A9Q1	msp,cpxC,JW4364,dye,sfrA,seg,fexA	ArcA transcriptional dual regulator	Global regulator
arfA	b4550	1450289	P36675	JW3253,yhdL	ribosome rescue factor	Basal machinery
argA	b2818	947289	P0A6C5	JW2786	ArgA	8.19
argB	b3959	948464	P0A6C8	JW5553	acetylglutamate kinase monomer	8.19
argC	b3958	948455	P11446	JW3930	N-acetylglutamylphosphate reductase	8.19
argD	b3359	947864	P18335	dapC,dtu,JW3322	ArgD	8.19
argE	b3957	948456	P23908	JW3929	ArgE	8.19
argF	b0273	944844	P06960	JW0266	ArgF	8.19
argG	b3172	947590	P0A6E4	JW3140	ArgG	8.19
argH	b3960	948463	P11447	JW3932	argininosuccinate lyase	8.19
argI	b4254	948774	P04391	JW4211	ArgI	8.19
argO	b2923	947418	P11667	JW2890,yggA	arginine export protein	29
argP	b2916	944867	P0A8S1	iciA,JW2883	ArgP transcriptional activator	29
argR	b3237	947861	P0A6D0	JW3206,xerA	ArgR	8.19
argS	b1876	946452	P11875	JW1865	arginyl-tRNA synthetase	Basal machinery
ariR	b1166	945340	P75993	ymgB,JW1153	regulator of acid resistance, influenced by indole	32
aroA	b0908	945528	P0A6D3	JW0891	3-phosphoshikimate-1-carboxyvinyltransferase	Basal machinery
aroB	b3389	947927	P07639	JW3352	3-dehydroquinate synthase	Basal machinery
aroF	b2601	947084	P00888	JW2582	AroF	12
aroG	b0754	945605	P0AB91	JW0737	AroG	12
aroH	b1704	946229	P00887	JW1694	AroH	12
aroK	b3390	2847759	P0A6D7	JW5947	shikimate kinase I	Basal machinery
aroL	b0388	945031	P0A6E1	JW0379	shikimate kinase II	12
aroM	b0390	945045	P0AE28	JW0381	conserved protein	12
aroP	b0112	946018	P15993	JW0108	aromatic amino acid:H<sup>+</sup> symporter AroP	12
arsB	b3502	948011	P0AB93	JW3469,arsF	ArsB	43
arsC	b3503	948018	P0AB96	arsG,JW3470	arsenate reductase	43
arsR	b3501	948013	P37309	JW3468,arsE	ArsR	43
artI	b0863	948988	P30859	JW0847	periplasmic binding protein ArtI	8.19
artJ	b0860	948981	P30860	JW0844	L-arginine ABC transporter - periplasmic binding protein	8.19
artM	b0861	949066	P0AE30	JW0845	L-arginine ABC transporter - membrane subunit	8.19
artP	b0864	945489	P0AAF6	JW0848	L-arginine ABC transporter - ATP binding subunit	8.19
artQ	b0862	949046	P0AE34	JW0846	L-arginine ABC transporter - membrane subunit	8.19
ascB	b2716	947460	P24240	JW2686	6-phospho-&beta;-glucosidase; cryptic	44
ascF	b2715	947154	P24241	JW5435	AscF	44
ascG	b2714	947305	P24242	JW5434	AscG DNA-binding transcriptional repressor	44
aslB	b3800	949013	P25550	JW5594,atsB	predicted anaerobic sulfatase maturation enzyme	8.1
asnA	b3744	948258	P00963	JW3722	AsnA	Basal machinery
asnC	b3743	948259	P0ACI6	JW3721	AsnC	Basal machinery
aspA	b4139	948658	P0AC38	JW4099	AspA	Basal machinery
asr	b1597	945103	P36560	JW5826	acid shock protein	8.1
astA	b1747	946261	P0AE37	JW1736,ydjV	arginine succinyltransferase	Intermodular
astB	b1745	946259	P76216	JW1734,ydjT		Intermodular
astC	b1748	946255	P77581	cstC,JW1737,ydjW,argM	succinylornithine transaminase	Intermodular
astD	b1746	946260	P76217	JW5282,ydjU	aldehyde dehydrogenase	Intermodular
astE	b1744	946256	P76215	ydjS,JW1733	succinylglutamate desuccinylase	Intermodular
atoA	b2222	946719	P76459	JW2216	acetyl-CoA:acetoacetyl-CoA transferase, &beta; subunit	66
atoB	b2224	946727	P76461	JW2218	AtoB	66
atoC	b2220	947444	Q06065	JW2214,az	AtoC transcriptional activator; Az protein inhibitor of ODC	66
atoD	b2221	947525	P76458	JW2215	acetyl-CoA:acetoacetyl-CoA transferase, &alpha; subunit	66
atoE	b2223	946721	P76460	JW2217	predicted short chain fatty acid transporter	66
atpA	b3734	948242	P0ABB0	uncA,papA,JW3712	ATP synthase F<sub>1</sub> complex - alpha subunit	Basal machinery
atpB	b3738	948252	P0AB98	JW3716,uncB,papD	ATP synthase F<sub>0</sub> complex - a subunit	Basal machinery
atpC	b3731	948245	P0A6E6	papG,JW3709,uncC	ATP synthase F1 complex - epsilon subunit	Basal machinery
atpD	b3732	948244	P0ABB4	uncD,JW3710,papB	ATP synthase F<sub>1</sub> complex - beta subunit	Basal machinery
atpE	b3737	948253	P68699	JW3715,papH,uncE		Basal machinery
atpF	b3736	948247	P0ABA0	uncF,papF,JW3714	ATP synthase F<sub>0</sub> complex - b subunit	Basal machinery
atpG	b3733	948243	P0ABA6	JW3711,papC,uncG	ATP synthase F<sub>1</sub> complex - gamma subunit	Basal machinery
atpH	b3735	948254	P0ABA4	uncH,papE,JW3713	ATP synthase F<sub>1</sub> complex - delta subunit	Basal machinery
atpI	b3739	948251	P0ABC0	JW5611,uncI	AtpI	Basal machinery
azoR	b1412	947569	P41407	JW1409,acpD	NADH:quinone oxidoreductase, FMN-dependent	Basal machinery
azuC	b4663	7751642	C1P605	JW1891.1	small membrane protein	Basal machinery
b0201	b0201			rrsH		Basal machinery
b0202	b0202			ileV		Basal machinery
b0203	b0203			alaV		Basal machinery
b0204	b0204			rrlH		Basal machinery
b0205	b0205			rrfH		Basal machinery
b0971	b0971			serT		Basal machinery
b1016	b1016			efeU_1		Basal machinery
b1230	b1230			tyrV		Basal machinery
b1231	b1231			tyrT		Basal machinery
b1665	b1665			valV		Basal machinery
b1666	b1666			valW		Basal machinery
b1954	b1954			dsrA		Basal machinery
b2083	b2083			yegZ		8.1
b2087	b2087			gatR_1		63
b2090	b2090			gatR_2		63
b2401	b2401			valU		Basal machinery
b2402	b2402			valX		Basal machinery
b2403	b2403			valY		Basal machinery
b2404	b2404			lysV		Basal machinery
b2588	b2588			rrfG		Basal machinery
b2589	b2589			rrlG		Basal machinery
b2590	b2590			gltW		Basal machinery
b2591	b2591			rrsG		Basal machinery
b2621	b2621			ssrA		Basal machinery
b2640	b2640			ypjM_2		Basal machinery
b2814	b2814			metZ		Basal machinery
b2815	b2815			metW		Basal machinery
b2816	b2816			metV		Basal machinery
b2911	b2911			ssrS		21
b3123	b3123			rnpB		Basal machinery
b3171	b3171			metY		8.19
b3174	b3174			leuU		Basal machinery
b3272	b3272			rrfF		Basal machinery
b3273	b3273			thrV		Basal machinery
b3274	b3274			rrfD		Basal machinery
b3275	b3275			rrlD		Basal machinery
b3276	b3276			alaU		Basal machinery
b3277	b3277			ileU		Basal machinery
b3278	b3278			rrsD		Basal machinery
b3756	b3756			rrsC		Basal machinery
b3757	b3757			gltU		Basal machinery
b3758	b3758			rrlC		Basal machinery
b3759	b3759			rrfC		Basal machinery
b3796	b3796			argX		Basal machinery
b3797	b3797			hisR		Basal machinery
b3798	b3798			leuT		Basal machinery
b3799	b3799			proM		Basal machinery
b3851	b3851			rrsA		Basal machinery
b3852	b3852			ileT		Basal machinery
b3853	b3853			alaT		Basal machinery
b3854	b3854			rrlA		Basal machinery
b3855	b3855			rrfA		Basal machinery
b3864	b3864			spf		Basal machinery
b3968	b3968			rrsB		Basal machinery
b3969	b3969			gltT		Basal machinery
b3970	b3970			rrlB		Basal machinery
b3971	b3971			rrfB		Basal machinery
b3976	b3976			thrU		Basal machinery
b3977	b3977			tyrU		Basal machinery
b3978	b3978			glyT		Basal machinery
b3979	b3979			thrT		Basal machinery
b4007	b4007			rrsE		Basal machinery
b4008	b4008			gltV		Basal machinery
b4009	b4009			rrlE		Basal machinery
b4010	b4010			rrfE		Basal machinery
b4408	b4408			csrB		8.15
b4414	b4414			tff		Basal machinery
b4417	b4417			rybB		Basal machinery
b4426	b4426			mcaS		Basal machinery
b4427	b4427			micC		Basal machinery
b4429	b4429			sokB		Basal machinery
b4431	b4431			rprA		8.1
b4433	b4433			sdsR		Basal machinery
b4435	b4435			isrC		8.18
b4436	b4436			sibA		Basal machinery
b4437	b4437			sibB		Basal machinery
b4438	b4438			cyaR		Basal machinery
b4439	b4439			micF		Intermodular
b4441	b4441			glmY		8.23
b4443	b4443			gcvB		68
b4447	b4447			sibD		Basal machinery
b4451	b4451			ryhB		Basal machinery
b4452	b4452			gadY		Basal machinery
b4454	b4454			rdlD		Basal machinery
b4456	b4456			glmZ		Basal machinery
b4457	b4457			csrC		8.15
b4458	b4458			oxyS		8.18
b4459	b4459			ryjA		Basal machinery
b4577	b4577			sgrS		67
b4597	b4597			rydC		Basal machinery
b4608	b4608			ohsC		Basal machinery
b4609	b4609			ryfD		Basal machinery
b4611	b4611			sibE		Basal machinery
b4616	b4616			istR-2,istR		Basal machinery
b4624	b4624			ryjB		Basal machinery
b4625	b4625			symR		Basal machinery
b4698	b4698			mgrR		Basal machinery
b4699	b4699			fnrS		Basal machinery
b4707	b4707			esrE		Basal machinery
baeR	b2079	946605	P69228	JW2064	BaeR transcriptional regulator	26
baeS	b2078	946611	P30847	JW2063	BaeS sensory histidine kinase	26
bamA	b0177	944870	P0A940	yzzN,yaeT,JW0172,yzzY	Outer Membrane Protein Assembly Complex - BamA subunit	Basal machinery
bamB	b2512	946982	P77774	JW2496,yfgL	Outer Membrane Protein Assembly Complex - BamB subunit	Basal machinery
bamC	b2477	946954	P0A903	dapX,JW2462,nlpB	Outer Membrane Protein Assembly Complex - BamC subunit	Basal machinery
bamD	b2595	947086	P0AC02	JW2577,yfiO	Outer Membrane Protein Assembly Complex - BamD subunit	Basal machinery
bamE	b2617	945583	P0A937	smpA,JW2598	Outer Membrane Protein Assembly Complex - BamE subunit	Basal machinery
basR	b4113	948631	P30843	JW4074,pmrA	BasR transcriptional regulator	8.1
bcp	b2480	946949	P0AE52	JW2465	thiol peroxidase	Basal machinery
bcsE	b3536	948050	P37657	yhjS,JW3504	c-di-GMP-binding protein	Basal machinery
bcsF	b3537	948059	P0ADJ5	JW5663,yhjT	predicted protein	Basal machinery
bcsG	b3538	948058	P37659	yhjU,JW3506	predicted inner membrane protein	Basal machinery
bdm	b1481	946041	P76127	JW5239,yddX	biofilm-dependent modulation protein	8.1
bepA	b2494	947029	P66948	JW2479,yfgC	chaperone/protease involved in the maintenance of OM integrity	Basal machinery
betA	b0311	945716	P17444	JW0303	choline dehydrogenase	Basal machinery
betB	b0312	947376	P17445	JW0304	BetB	Basal machinery
betI	b0313	944981	P17446	JW0305	BetI DNA-binding transcriptional repressor	Basal machinery
betT	b0314	945079	P0ABC9	JW0306	choline:H<sup>+</sup> symporter	Basal machinery
bglB	b3721	948234	P11988	JW3699	6-phospho-&beta;-glucosidase B; cryptic	8.1
bglF	b3722	948236	P08722	bglS,bglC,JW3700	BglF	8.1
bglG	b3723	948235	P11989	JW3701,bglC	BglG transcriptional antiterminator (monomer)	8.1
bglJ	b4366	948889	P39404	yjjR,JW5955	BglJ DNA-binding transcriptional regulator	8.1
bhsA	b1112	945492	P0AB40	JW1098,comC,ycfR	outer membrane protein involved in copper permeability, stress resistance and biofilm formation	57
bioA	b0774	945376	P12995	JW0757	adenosylmethionine-8-amino-7-oxononanoate aminotransferase monomer	71
bioB	b0775	945370	P12996	JW0758	biotin synthase monomer	71
bioC	b0777	945388	P12999	JW0760	malonyl-[acp] methyltransferase	71
bioD1	b0778			JW0761,bioD		71
bioF	b0776	945384	P12998	JW0759	8-amino-7-oxononanoate synthase monomer	71
birA	b3973	948469	P06709	JW3941,bioR,dhbB	bifunctional biotin-[acetyl-CoA-carboxylase] ligase and transcriptional repressor	71
blc	b4149	948670	P0A901	yjeL,JW4110	Blc outer membrane lipoprotein (lipocalin)	Basal machinery
bluF	b1163	947592	P75990	blrp,ycgF,JW1150	blue light-responsive regulator of BluR	8.1
bluR	b1162	945735	P75989	ycgE,JW1149	BluR DNA-binding transcriptional repressor	32
bolA	b0435	947043	P0ABE2	JW5060	BolA DNA-binding transcriptional dual regulator	8.1
borD	b0557	948980	P77330	JW0546,ybcU	bacteriophage lambda Bor protein homolog	8.1
bssS	b1060	946104	P0AB33	yceP,JW5152	regulator of biofilm formation	Basal machinery
btuB	b3966	948468	P06129	bfe,JW3938,dcrC,cer	vitamin B12 / E colicin / bacteriophage BF23 outer membrane porin BtuB	8.1
btuF	b0158	947574	P37028	yadT,JW0154	vitamin B<sub>12</sub> ABC transporter - periplasmic binding protein	Basal machinery
cadA	b4131	948643	P0A9H3	ldcI,JW4092	CadA	8.1
cadB	b4132	948654	P0AAE8	JW4093	cadaverine:H<sup>+</sup> symporter/lysine:cadaverine antiporter	8.1
cadC	b4133	948653	P23890	JW4094	CadC DNA-binding transcriptional activator	8.1
caiA	b0039	949064	P60584	JW0038,yaaO	crotonobetainyl-CoA reductase	13
caiB	b0038	948997	P31572	yaaN,JW0037	CaiB monomer	13
caiC	b0037	944886	P31552	JW0036,yaaM	carnitine-CoA ligase	13
caiD	b0036	948995	P31551	yaaL,JW0035	crotonobetainyl-CoA hydratase	13
caiE	b0035	948999	P39206	JW5004	predicted acyl transferase	13
caiF	b0034	944795	P0AE58	JW0033	CaiF	13
caiT	b0040	944765	P31553	JW0039,yaaP		13
can	b0126	944832	P61517	yadF,cynT2,JW0122	carbonic anhydrase 2 monomer	Basal machinery
carA	b0032	949025	P0A6F1	JW0030,pyrA	carbamoyl phosphate synthetase, &alpha; chain	Intermodular
carB	b0033	944775	P00968	pyrA,JW0031	carbamoyl phosphate synthetase, &beta; chain	Intermodular
cas1	b2755		Q46896	JW2725,ygbT	multifunctional nuclease	8.1
cas2	b2754		P45956	ygbF,JW5438	predicted endoribonuclease	8.1
casA	b2760	947222	Q46901	cse1,ygcL,JW2730	Cascade subunit A	8.1
casB	b2759	947223	P76632	JW2729,ygcK,cse2	Cascade subunit B	8.1
casC	b2758	947224	Q46899	JW2728,cas4,ygcJ,cse4	Cascade subunit C	8.1
casD	b2757	947225	Q46898	cas5,ygcI,JW5844	Cascade subunit D	8.1
casE	b2756	947226	Q46897	JW2726,ygcH,cas6e	crRNA endonuclease	8.1
cbl	b1987	946502	Q47083	JW1966	Cbl DNA-binding transcriptional activator	19
cbpA	b1000	947572	P36659	JW0985	CbpA monomer	Basal machinery
cbpM	b0999	945597	P63264	JW0984,yccD	chaperone modulator protein CbpM	Basal machinery
cca	b3056	947553	P06961	JW3028	fused tRNA nucleotidyltransferase / 2',3'-cyclic phosphodiesterase / 2' nucleotidase and phosphatase	Basal machinery
ccmA	b2201	946714	P33931	JW5366,yejW	protoheme IX ABC transporter - ATP binding subunit	Intermodular
ccmB	b2200	946692	P0ABL8	yejV,JW2188	protoheme IX ABC transporter - membrane subunit CcmB	Intermodular
ccmC	b2199	946703	P0ABM1	yejT,yejU,JW2187	protoheme IX ABC transporter - membrane subunit CcmC	Intermodular
ccmD	b2198	946709	P0ABM5	yojM,JW2186	protoheme IX ABC transporter - membrane subunit CcmD	Intermodular
ccmE	b2197	946697	P69490	yejS,JW2185	membrane anchored periplasmic heme chaperone CcmE	Intermodular
ccmF	b2196	948783	P33927	JW2184,yejR	cytochrome c-type biogenesis protein	Intermodular
ccmH	b2194	946623	P0ABM9	JW2182,yejP	CcmH	Intermodular
cdd	b2143	946663	P0ABF6	JW2131	Cdd	8.35
cecR						69
cfa	b1661	944811	P0A9H7	JW1653,cdfA	cyclopropane fatty acyl phospholipid synthase	Basal machinery
chbA	b1736	946244	P69791	celC,JW1725	chitobiose PTS permease - ChbA subunit	8.7
chbB	b1738	945339	P69795	celA,JW1727	chitobiose PTS permease - ChbB subunit	8.7
chbC	b1737	945982	P17334	celB,JW1726	chitobiose PTS permease - ChbC subunit	8.7
chbF	b1734	946266	P17411	ydjD,JW1723,celF	monoacetylchitobiose-6-phosphate hydrolase	8.7
chbG	b1733	946231	P37794	JW1722,ydjC	chito-oligosaccharide mono-deacetylase	8.7
chbR	b1735	946247	P17410	celD,JW1724	ChbR DNA-binding transcriptional dual regulator	8.7
cheA	b1888	946401	P07363	JW1877	CheA(S)	Basal machinery
cheB	b1883	946394	P07330	JW1872	CheB	8.1
cheR	b1884	946396	P07364	cheX,JW1873	chemotaxis protein methyltransferase/chemotaxis protein methyltransferase/chemotaxis protein methyltransferase/chemotaxis protein methyltransferase/chemotaxis protein methyltransferase	8.1
cheW	b1887	946400	P0A964	JW1876	CheW	Basal machinery
cheY	b1882	946393	P0AE67	JW1871	chemotaxis regulator transmitting signal to flagellar motor component	8.1
cheZ	b1881	946392	P0A9H9	JW1870	CheZ	8.1
chiA	b3338	947837	P13656	JW3300,yheB	endochitinase	Basal machinery
chiP	b0681	945296	P75733	JW0667,ybfM	chitobiose outer membrane porin	8.7
chiX	b4585	5061500		rybC,sroB,micM	MicM	Basal machinery
cirA	b2155	949042	P17315	feuA,cir,JW2142	outer membrane receptor involved in uptake of ferric dihyroxybenzoylserine	Basal machinery
citC	b0618	945231	P77390	JW0610,ybeO	citrate lyase synthetase	28
citD	b0617	945415	P69330	ybdX,JW0609	citrate lyase, acyl carrier &gamma; subunit	28
citE	b0616	945406	P0A9I1	ybdW,JW0608	citrate lyase, citryl-ACP lyase &beta; subunit	28
citF	b0615	945230	P75726	ybdV,JW5087	citrate lyase, citrate-ACP transferase &alpha; subunit	28
citG	b0613	946395	P77231	JW0605,ybdT	triphosphoribosyl-dephospho-CoA synthase	28
citX	b0614	949084	P0A6G5	ybdU,JW0606	apo-citrate lyase phosphoribosyl-dephospho-CoA transferase	28
clpA	b0882	945764	P0ABH9	JW0866,lopD	ClpA	Basal machinery
clpB	b2592	947077	P63284	JW2573,htpM	ClpB chaperone	Basal machinery
clpP	b0437	945082	P0A6G7	JW0427,lopP	ClpP	Basal machinery
clpX	b0438	945083	P0A6H1	lopC,JW0428	ClpX	Basal machinery
cmk	b0910	945535	P0A6I0	JW0893,ycaG,mssA,ycaF	cytidylate kinase	Basal machinery
coaD	b3634	947386	P0A6I6	yicA,JW3609,kdtB	pantetheine-phosphate adenylyltransferase monomer	Basal machinery
cobS	b1992	946520	P36561	JW1970	cobalamin 5'-phosphate synthase	Basal machinery
cobT	b1991	946517	P36562	JW1969	CobT	Basal machinery
cobU	b1993	946519	P0AE76	JW1971	CobU	Basal machinery
codA	b0337	944996	P25524	JW0328		56
codB	b0336	944994	P0AA82	JW0327	cytosine transporter	56
comR	b1111		P75952	ycfQ,JW5159	ComR DNA-binding transcriptional repressor	57
copA	b0484	946106	Q59385	ybaR,JW0473	Cu<sup>+</sup> efflux ATPase	58
cpdB	b4213	948729	P08331	JW4171	2'3' cyclic nucleotide phosphodiesterase/3' nucleotidase	Basal machinery
cpxA	b3911	948405	P0AE82	ssd,ecfB,eup,JW3882	CpxA sensory histidine kinase	Basal machinery
cpxP	b4484	2847688	P0AE85	JW5558,yiiO	regulator of the Cpx response and possible chaperone involved in resistance to extracytoplasmic stress	Basal machinery
cpxQ						Basal machinery
cpxR	b3912	948404	P0AE88	JW3883,yiiA	CpxR transcriptional dual regulator	Global regulator
cra	b0080	944804	P0ACP1	JW0078,fruR,shl,fruC	Cra DNA-binding transcriptional dual regulator	8.1
creA	b4397	948920	P0AE91	yjjD,JW4360	conserved protein	Basal machinery
creB	b4398	948922	P08368	JW4361,yjjE	CreB transcriptional regulator	59
creC	b4399	948609	P08401	phoM,JW4362	CreC	Basal machinery
creD	b4400	948868	P08369	cet,JW4363	predicted inner membrane protein	59
crl	b0240	945077	P24251	JW0230	RNA polymerase holoenzyme assembly factor Crl	Basal machinery
crp	b3357	947867	P0ACJ8	cap,JW5702,csm	CRP transcriptional dual regulator	Global regulator
crr	b2417	946880	P69783	iex,tgs,JW2410,treD,gsr	Enzyme IIA<sup>Glc</sup>; Crr	Intermodular
csgA	b1042	949055	P28307	JW1025	curlin, major subunit	8.1
csgB	b1041	947391	P0ABK7	JW1024	curlin, minor subunit	8.1
csgC	b1043	945623	P52107	JW1026	putative curli production protein	8.1
csgD	b1040	949119	P52106	JW1023	CsgD DNA-binding transcriptional dual regulator	8.1
csgE	b1039	945711	P0AE95	JW1022	curli transport specificity factor	8.1
csgF	b1038	945622	P0AE98	JW1021	curli assembly component	8.1
csgG	b1037	945619	P0AEA2	JW1020	curli secretion channel	8.1
csiD	b2659	948076	P76621	ygaT,JW5427,gab	predicted protein	Basal machinery
csiE	b2535	947009	P54901	JW5878	stationary phase inducible protein	Basal machinery
cspA	b3556	948070	P0A9X9	JW3525,cspS	CspA DNA-binding transcriptional activator	Basal machinery
cspC	b1823	946339	P0A9Y6	JW1812,msmB	stress protein, member of the CspA family	Basal machinery
cspD	b0880	945669	P0A968	ybjA,JW0864,cspH	DNA replication inhibitor	8.1
cspE	b0623	947024	P0A972	JW0618,gicA,msmC	transcription antiterminator and regulator of RNA stability	18
cspI	b1552	946099	P0A986	cspJ,JW1544	Qin prophage; cold shock protein	8.1
